year,Nationality,region,order,dist.class,Moran.correlog,p.value,p.value.sig,red.dots,links,class.links,sig
2011,Total,Andalusia,Total Birth Order,406198.2124,0.029936435,0.305803481,1,1,NA,101 to 500,TRUE
2011,Total,Andalusia,Total Birth Order,438515.8939,-0.287753005,0.931064166,0,NA,NA,21 to 100,FALSE
2011,Total,Andalusia,Total Birth Order,470833.5754,-0.643214617,0.978548841,0,NA,NA,21 to 100,FALSE
1981,Total,Catalonia,Total Birth Order,12446.50352,0.433669004,1.16e-15,1,1,1630,>500,TRUE
1981,Total,Catalonia,Total Birth Order,32985.40565,0.06053161,0.035260988,1,1,2266,>500,TRUE
1981,Total,Catalonia,Total Birth Order,53524.30779,0.010210502,0.29090636,1,1,2210,>500,TRUE
1981,Total,Catalonia,Total Birth Order,74063.20992,-0.081921683,0.992732503,0,NA,2052,>500,FALSE
1981,Total,Catalonia,Total Birth Order,94602.11205,-0.145457253,0.999995201,0,NA,1896,>500,FALSE
1981,Total,Catalonia,Total Birth Order,115141.0142,-0.141109432,0.99983282,0,NA,1358,>500,FALSE
1981,Total,Catalonia,Total Birth Order,135679.9163,-0.091090107,0.97492822,0,NA,1088,>500,FALSE
1981,Total,Catalonia,Total Birth Order,156218.8184,-0.002812769,0.456519251,1,1,776,>500,TRUE
1981,Total,Catalonia,Total Birth Order,176757.7206,-0.190601978,0.995949673,0,NA,454,101 to 500,FALSE
1981,Total,Catalonia,Total Birth Order,197296.6227,-0.287398603,0.998427891,0,NA,258,101 to 500,FALSE
1981,Total,Catalonia,Total Birth Order,217835.5248,-0.229323061,0.964400792,0,NA,146,101 to 500,FALSE
1981,Total,Catalonia,Total Birth Order,238374.427,-0.30639796,0.958974172,0,NA,84,21 to 100,FALSE
1981,Total,Catalonia,Total Birth Order,258913.3291,0.054349289,0.258689369,1,1,46,21 to 100,TRUE
1981,Total,Catalonia,Total Birth Order,279452.2312,-0.313475403,0.743850266,0,NA,16,1 to 20,FALSE
1991,Total,Catalonia,Total Birth Order,11501.01848,0.203730584,1.06419e-4,1,1,NA,>500,TRUE
1991,Total,Catalonia,Total Birth Order,32109.95654,0.167800284,1.66e-6,1,1,NA,>500,TRUE
1991,Total,Catalonia,Total Birth Order,52718.8946,0.093435596,9.67626e-4,1,1,NA,>500,TRUE
1991,Total,Catalonia,Total Birth Order,73327.83267,0.030657818,0.092006098,0,NA,NA,>500,FALSE
1991,Total,Catalonia,Total Birth Order,93936.77073,-0.065042093,0.967610132,0,NA,NA,>500,FALSE
1991,Total,Catalonia,Total Birth Order,114545.7088,-0.016795986,0.591315229,0,NA,NA,>500,FALSE
1991,Total,Catalonia,Total Birth Order,135154.6469,-0.096401858000000007,0.983061261,0,NA,NA,>500,FALSE
1991,Total,Catalonia,Total Birth Order,155763.5849,-0.152355818,0.997616447,0,NA,NA,>500,FALSE
1991,Total,Catalonia,Total Birth Order,176372.523,-0.091992922,0.888486069,0,NA,NA,101 to 500,FALSE
1991,Total,Catalonia,Total Birth Order,196981.461,-0.160686243,0.945447562,0,NA,NA,101 to 500,FALSE
1991,Total,Catalonia,Total Birth Order,217590.3991,-0.067945156,0.649230243,0,NA,NA,101 to 500,FALSE
1991,Total,Catalonia,Total Birth Order,238199.3372,-0.043352246999999997,0.509337453,0,NA,NA,21 to 100,FALSE
1991,Total,Catalonia,Total Birth Order,258808.2752,-0.165775151,0.674972839,0,NA,NA,21 to 100,FALSE
