zona91,year,value,CCAA,PROVINCIA,Regions
29069,2018,1.23,Andalucía,29,South
29070,2018,1.3,Andalucía,29,South
29084,2018,1.16,Andalucía,29,South
29094,2018,1.31,Andalucía,29,South
29901,2018,1.11,Andalucía,29,South
30003,2018,1.47,Murcia (Región de),30,South
30005,2018,1.49,Murcia (Región de),30,South
30015,2018,1.36,Murcia (Región de),30,South
30016,2018,1.5,Murcia (Región de),30,South
30019,2018,1.47,Murcia (Región de),30,South
30022,2018,1.55,Murcia (Región de),30,South
30024,2018,1.56,Murcia (Región de),30,South
30027,2018,1.45,Murcia (Región de),30,South
30030,2018,1.45,Murcia (Región de),30,South
30039,2018,1.6,Murcia (Región de),30,South
30043,2018,1.37,Murcia (Región de),30,South
31201,2018,1.26,Navarra (Comunidad Foral de),31,North-East
31232,2018,1.39,Navarra (Comunidad Foral de),31,North-East
32054,2018,0.94,Galicia,32,North-East
33004,2018,0.96,Asturias (Principado de),33,North-East
33016,2018,0.97,Asturias (Principado de),33,North-East
33024,2018,0.99,Asturias (Principado de),33,North-East
33031,2018,1.05,Asturias (Principado de),33,North-East
33037,2018,0.99,Asturias (Principado de),33,North-East
33044,2018,1,Asturias (Principado de),33,North-East
33060,2018,0.93,Asturias (Principado de),33,North-East
33066,2018,1.09,Asturias (Principado de),33,North-East
34120,2018,1.12,Castilla y León,34,Center
35004,2018,1.3,Canarias,35,Canarias
35006,2018,0.9,Canarias,35,Canarias
35009,2018,0.87,Canarias,35,Canarias
35011,2018,1.12,Canarias,35,Canarias
35016,2018,0.93,Canarias,35,Canarias
35019,2018,0.87,Canarias,35,Canarias
35022,2018,1.11,Canarias,35,Canarias
35026,2018,0.94,Canarias,35,Canarias
36008,2018,0.91,Galicia,36,North-East
36017,2018,0.89,Galicia,36,North-East
36024,2018,1,Galicia,36,North-East
36026,2018,0.84,Galicia,36,North-East
36038,2018,1.09,Galicia,36,North-East
36045,2018,1.03,Galicia,36,North-East
36057,2018,1.02,Galicia,36,North-East
36060,2018,0.96,Galicia,36,North-East
37274,2018,1.24,Castilla y León,37,Center
38006,2018,1.07,Canarias,38,Canarias
38022,2018,1.05,Canarias,38,Canarias
38023,2018,0.89,Canarias,38,Canarias
38026,2018,1.11,Canarias,38,Canarias
38028,2018,1.03,Canarias,38,Canarias
38031,2018,1.06,Canarias,38,Canarias
38038,2018,0.94,Canarias,38,Canarias
39016,2018,1.06,Cantabria,39,North-East
39075,2018,1.06,Cantabria,39,North-East
39087,2018,1.06,Cantabria,39,North-East
40194,2018,1.15,Castilla y León,40,Center
41004,2018,1.21,Andalucía,41,South
41021,2018,1.28,Andalucía,41,South
41024,2018,1.02,Andalucía,41,South
41034,2018,1.38,Andalucía,41,South
41038,2018,1.32,Andalucía,41,South
41039,2018,1.47,Andalucía,41,South
41053,2018,1.31,Andalucía,41,South
41059,2018,1.24,Andalucía,41,South
41065,2018,1.33,Andalucía,41,South
41069,2018,1.5,Andalucía,41,South
41081,2018,1.23,Andalucía,41,South
41086,2018,1.64,Andalucía,41,South
41091,2018,1.32,Andalucía,41,South
41095,2018,1.3,Andalucía,41,South
42173,2018,1.33,Castilla y León,42,Center
43123,2018,1.43,Cataluña,43,North-West
43148,2018,1.4,Cataluña,43,North-West
43155,2018,1.58,Cataluña,43,North-West
43161,2018,1.39,Cataluña,43,North-West
44216,2018,1.19,Aragón,44,North-West
45165,2018,1.3,Castilla - La Mancha,45,Center
45168,2018,1.27,Castilla - La Mancha,45,Center
46005,2018,1.23,Comunitat Valenciana,46,North-West
46017,2018,1.16,Comunitat Valenciana,46,North-West
46021,2018,1.17,Comunitat Valenciana,46,North-West
46022,2018,1.11,Comunitat Valenciana,46,North-West
46029,2018,1.45,Comunitat Valenciana,46,North-West
46078,2018,1.03,Comunitat Valenciana,46,North-West
46083,2018,1.12,Comunitat Valenciana,46,North-West
46094,2018,1.17,Comunitat Valenciana,46,North-West
46102,2018,1.13,Comunitat Valenciana,46,North-West
46105,2018,1.25,Comunitat Valenciana,46,North-West
46110,2018,1.26,Comunitat Valenciana,46,North-West
46131,2018,1.28,Comunitat Valenciana,46,North-West
46145,2018,1.25,Comunitat Valenciana,46,North-West
46159,2018,1.19,Comunitat Valenciana,46,North-West
46169,2018,1,Comunitat Valenciana,46,North-West
46181,2018,1.17,Comunitat Valenciana,46,North-West
46184,2018,1.06,Comunitat Valenciana,46,North-West
46190,2018,1.32,Comunitat Valenciana,46,North-West
46220,2018,1.23,Comunitat Valenciana,46,North-West
46235,2018,1.23,Comunitat Valenciana,46,North-West
46244,2018,1.3,Comunitat Valenciana,46,North-West
46250,2018,1.18,Comunitat Valenciana,46,North-West
47186,2018,1.17,Castilla y León,47,Center
48013,2018,1.21,País Vasco,48,North-East
48015,2018,1.1,País Vasco,48,North-East
48020,2018,1.16,País Vasco,48,North-East
48027,2018,1.34,País Vasco,48,North-East
48036,2018,1.14,País Vasco,48,North-East
48044,2018,1.03,País Vasco,48,North-East
48054,2018,1.21,País Vasco,48,North-East
48078,2018,1.02,País Vasco,48,North-East
48082,2018,1.07,País Vasco,48,North-East
48084,2018,1.15,País Vasco,48,North-East
48902,2018,1.08,País Vasco,48,North-East
49275,2018,1.12,Castilla y León,49,Center
50297,2018,1.26,Aragón,50,North-West
51001,2018,1.66,Ceuta,51,Ceuta&Melilla
52001,2018,2.21,Melilla,52,Ceuta&Melilla
200199,2018,1.38,País Vasco,20,North-East
200299,2018,1.29,País Vasco,20,North-East
200399,2018,1.25,País Vasco,20,North-East
200499,2018,1.42,País Vasco,20,North-East
200599,2018,1.51,País Vasco,20,North-East
200699,2018,1.44,País Vasco,20,North-East
200799,2018,1.43,País Vasco,20,North-East
200899,2018,1.21,País Vasco,20,North-East
200999,2018,1.22,País Vasco,20,North-East
201099,2018,1.46,País Vasco,20,North-East
201199,2018,1.14,País Vasco,20,North-East
201299,2018,1.36,País Vasco,20,North-East
201399,2018,1.49,País Vasco,20,North-East
201499,2018,1.75,País Vasco,20,North-East
201599,2018,1.72,País Vasco,20,North-East
300199,2018,1.47,Murcia (Región de),30,South
300299,2018,1.37,Murcia (Región de),30,South
300399,2018,1.5,Murcia (Región de),30,South
300499,2018,1.39,Murcia (Región de),30,South
300599,2018,1.64,Murcia (Región de),30,South
300699,2018,1.46,Murcia (Región de),30,South
300799,2018,1.66,Murcia (Región de),30,South
300899,2018,1.83,Murcia (Región de),30,South
300999,2018,1.72,Murcia (Región de),30,South
301099,2018,1.67,Murcia (Región de),30,South
310199,2018,1.49,Navarra (Comunidad Foral de),31,North-East
310299,2018,1.35,Navarra (Comunidad Foral de),31,North-East
310399,2018,1.43,Navarra (Comunidad Foral de),31,North-East
310499,2018,1.53,Navarra (Comunidad Foral de),31,North-East
310599,2018,1.45,Navarra (Comunidad Foral de),31,North-East
310699,2018,1.51,Navarra (Comunidad Foral de),31,North-East
310799,2018,1.18,Navarra (Comunidad Foral de),31,North-East
310899,2018,1.47,Navarra (Comunidad Foral de),31,North-East
310999,2018,1.23,Navarra (Comunidad Foral de),31,North-East
311099,2018,1.06,Navarra (Comunidad Foral de),31,North-East
311199,2018,1.33,Navarra (Comunidad Foral de),31,North-East
311299,2018,1.47,Navarra (Comunidad Foral de),31,North-East
311399,2018,1.52,Navarra (Comunidad Foral de),31,North-East
311499,2018,1.55,Navarra (Comunidad Foral de),31,North-East
311599,2018,1.73,Navarra (Comunidad Foral de),31,North-East
390199,2018,1.18,Cantabria,39,North-East
390299,2018,0.95,Cantabria,39,North-East
390399,2018,1.09,Cantabria,39,North-East
390499,2018,1.21,Cantabria,39,North-East
390599,2018,1.23,Cantabria,39,North-East
390699,2018,1.07,Cantabria,39,North-East
390799,2018,1.03,Cantabria,39,North-East
390899,2018,1.09,Cantabria,39,North-East
390999,2018,1.13,Cantabria,39,North-East
391099,2018,0.98,Cantabria,39,North-East
391199,2018,1.21,Cantabria,39,North-East
391299,2018,1.32,Cantabria,39,North-East
400199,2018,1,Castilla y León,40,Center
400299,2018,1.51,Castilla y León,40,Center
400399,2018,1.31,Castilla y León,40,Center
400499,2018,1.3,Castilla y León,40,Center
410199,2018,1.27,Andalucía,41,South
410299,2018,1.4,Andalucía,41,South
410399,2018,1.22,Andalucía,41,South
410499,2018,1.44,Andalucía,41,South
410599,2018,1.1,Andalucía,41,South
410699,2018,1.4,Andalucía,41,South
410799,2018,1.27,Andalucía,41,South
410899,2018,1.38,Andalucía,41,South
410999,2018,1.51,Andalucía,41,South
411099,2018,1.49,Andalucía,41,South
411199,2018,0.97,Andalucía,41,South
411299,2018,1.31,Andalucía,41,South
411399,2018,1.14,Andalucía,41,South
411499,2018,1.44,Andalucía,41,South
411599,2018,1.51,Andalucía,41,South
411699,2018,1.56,Andalucía,41,South
411799,2018,1.41,Andalucía,41,South
411899,2018,1.39,Andalucía,41,South
411999,2018,1.26,Andalucía,41,South
412099,2018,1.49,Andalucía,41,South
412199,2018,1.31,Andalucía,41,South
412299,2018,1.22,Andalucía,41,South
490199,2018,0.96,Castilla y León,49,Center
490299,2018,0.66,Castilla y León,49,Center
490399,2018,1.01,Castilla y León,49,Center
490499,2018,0.73,Castilla y León,49,Center
490599,2018,1.1,Castilla y León,49,Center
490699,2018,1.1,Castilla y León,49,Center
490799,2018,0.8,Castilla y León,49,Center
500199,2018,0.62,Aragón,50,North-West
500299,2018,1.15,Aragón,50,North-West
500399,2018,0.81,Aragón,50,North-West
500499,2018,1.08,Aragón,50,North-West
500599,2018,1.25,Aragón,50,North-West
500699,2018,1.05,Aragón,50,North-West
500799,2018,1.4,Aragón,50,North-West
500899,2018,1.25,Aragón,50,North-West
500999,2018,1.81,Aragón,50,North-West
501099,2018,1.29,Aragón,50,North-West
501199,2018,1.63,Aragón,50,North-West
501299,2018,1.36,Aragón,50,North-West
